Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-04-11_14;28;13_TolH_P3HT_DP240_JO_01.vdt
Sample ID	TolH P3HT DP240 JO
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Apr 11, 2019 - 14:28:13
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.57000	 3.189	 5.567	110.080	84.902	-354.579	16.27552						
0.57333	 3.189	 9.124	110.111	84.902	-354.625	16.27491						
0.57667	 3.113	12.682	110.157	84.956	-354.610	16.27430						
0.58000	 3.113	16.240	110.248	85.013	-354.640	16.27491						
0.58333	 3.159	19.885	110.294	84.937	-354.717	16.27491						
0.58667	 3.174	23.594	110.340	84.975	-354.778	16.27430						
0.59000	 3.189	27.303	110.294	85.108	-354.762	16.27369						
0.59333	 3.220	31.012	110.294	85.086	-354.778	16.27430						
0.59667	 3.220	34.721	110.355	85.192	-354.778	16.27491						
0.60000	 3.143	36.212	110.340	85.162	-354.717	16.27491						
0.60333	 3.128	36.212	110.401	85.116	-354.656	16.27430						
0.60667	 3.159	36.212	110.416	85.040	-354.610	16.27430						
0.61000	 3.159	36.212	110.401	85.086	-354.610	16.27491						
0.61333	 3.143	36.212	110.218	84.979	-354.610	16.27613						
0.61667	 3.220	31.746	110.233	85.009	-354.595	16.27552						
0.62000	 3.204	24.479	110.172	84.948	-354.747	16.27552						
0.62333	 3.113	17.213	110.187	84.948	-354.686	16.27491						
0.62667	 3.174	 9.946	110.157	84.826	-354.671	16.27369						
0.63000	 3.204	 2.680	110.172	84.857	-354.717	16.27125						
0.63333	 3.143	 4.587	110.157	84.841	-354.686	16.27003						
0.63667	 3.174	11.853	110.096	84.937	-354.579	16.27064						
0.64000	 3.235	19.120	110.126	84.975	-354.625	16.27430						
0.64333	 3.128	26.387	110.218	85.253	-354.595	16.28040						
0.64667	 3.128	33.653	110.218	84.937	-354.518	16.28590						
0.65000	 3.189	33.809	110.210	85.055	-354.549	16.29017						
0.65333	 3.189	30.100	110.229	85.040	-354.518	16.29322						
0.65667	 3.174	26.391	110.134	85.101	-354.534	16.29566						
0.66000	 3.220	22.682	110.057	85.086	-354.564	16.29688						
0.66333	 3.189	18.973	110.115	85.147	-354.610	16.29627						
0.66667	 3.128	20.193	110.172	85.009	-354.610	16.29566						
0.67000	 3.098	23.902	110.202	84.979	-354.579	16.29505						
0.67333	 3.143	27.611	110.263	84.948	-354.564	16.29505						
0.67667	 3.159	31.320	110.279	85.009	-354.579	16.29444						
0.68000	 3.143	35.029	110.248	85.070	-354.579	16.29383						
0.68333	 3.189	28.935	110.202	85.101	-354.640	16.29261						
0.68667	 3.189	18.251	110.202	85.070	-354.686	16.29261						
0.69000	 3.067	 7.566	110.191	85.208	-354.671	16.29261						
0.69333	 3.098	-3.119	110.191	84.918	-354.671	16.29200						
0.69667	 3.159	-13.803	110.172	84.822	-354.717	16.29139						
0.70000	 3.113	-9.579	110.267	84.937	-354.686	16.29139						
0.70333	 3.128	 1.106	110.248	85.089	-354.610	16.29200						
0.70667	 3.220	11.790	110.279	85.009	-354.579	16.29200						
0.71000	 3.159	22.475	110.248	85.009	-354.579	16.29078						
0.71333	 3.098	33.159	110.324	85.025	-354.579	16.28956						
0.71667	 3.189	33.563	110.233	84.887	-354.549	16.28956						
0.72000	 3.189	29.854	110.218	84.826	-354.579	16.29017						
0.72333	 3.174	26.145	110.172	84.861	-354.625	16.28956						
0.72667	 3.204	22.436	110.248	84.975	-354.579	16.28895						
0.73000	 3.235	18.727	110.157	84.918	-354.534	16.28834						
