Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-08-02_12;32;01_JO3-83_PostSox_P3MEGT_01.vdt
Sample ID	JO3-83 PostSox P3MEGT
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Aug 02, 2019 - 12:32:01
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.35667	 3.677	 2.005	110.752	84.937	-2494.888	21.06998						
0.36000	 3.693	 2.881	110.813	85.108	-2494.888	21.07120						
0.36333	 3.739	 3.756	110.858	85.299	-2494.888	21.07181						
0.36667	 3.723	 3.834	110.828	85.242	-2494.888	21.07120						
0.37000	 3.708	 2.092	110.752	85.147	-2494.888	21.07059						
0.37333	 3.616	 0.350	110.721	85.055	-2494.888	21.07120						
0.37667	 3.632	-1.392	110.721	84.937	-2494.888	21.07242						
0.38000	 3.677	-3.134	110.691	84.791	-2494.888	21.07303						
0.38333	 3.693	-4.321	110.660	84.867	-2494.888	21.07242						
0.38667	 3.647	-4.321	110.675	84.969	-2494.888	21.07303						
0.39000	 3.708	-4.321	110.630	85.242	-2494.888	21.07425						
0.39333	 3.708	-4.321	110.630	85.096	-2494.888	21.07486						
0.39667	 3.647	-4.321	110.614	84.956	-2494.888	21.07425						
0.40000	 3.571	-4.033	110.645	84.822	-2494.888	21.07425						
0.40333	 3.632	-3.167	110.649	84.765	-2494.888	21.07486						
0.40667	 3.662	-2.300	110.858	84.613	-2494.888	21.07608						
0.41000	 3.677	-1.433	110.820	84.964	-2494.888	21.07730						
0.41333	 3.677	-0.567	110.820	85.101	-2494.888	21.07730						
0.41667	 3.739	-0.300	110.839	85.177	-2494.888	21.07730						
0.42000	 3.723	-1.167	110.797	85.055	-2494.888	21.07791						
0.42333	 3.693	-2.033	110.752	84.964	-2494.888	21.07913						
0.42667	 3.616	-2.900	110.797	84.979	-2494.888	21.07852						
0.43000	 3.632	-3.767	110.858	84.887	-2494.888	21.07730						
0.43333	 3.662	-4.321	110.889	84.964	-2494.888	21.07730						
0.43667	 3.693	-4.321	111.087	84.994	-2494.888	21.07852						
0.44000	 3.662	-4.321	111.087	85.045	-2494.888	21.07913						
0.44333	 3.708	-4.321	111.072	85.391	-2494.888	21.07852						
0.44667	 3.723	-4.321	111.133	85.498	-2494.888	21.07791						
0.45000	 3.693	-4.321	111.087	84.536	-2494.888	21.07852						
0.45333	 3.586	-4.321	110.935	85.013	-2494.888	21.07974						
0.45667	 3.616	-4.321	110.935	85.013	-2494.888	21.07974						
0.46000	 3.693	-4.321	110.889	84.918	-2494.888	21.07913						
